1  	 H 		Hydrogen      	  1.008 	  .0715 	4.271E22 
2  	He 		Helium        	  4.003 	  .1259 	1.894E22 
3  	Li 		Lithium       	  7.016 	  .5340 	4.633E22 
4  	Be 		Beryllium     	  9.012 	 1.8480 	1.235E23 
5  	 B 		Boron         	 11.009 	 2.3502 	1.309E23 
6  	 C 		Carbon        	 12.000 	 2.2530 	1.130E23 
7  	 N 		Nitrogen      	 14.003 	 1.0260 	4.411E22 
8  	 O 		Oxygen        	 15.995 	 1.4260 	5.368E22 
9  	 F 		Fluorine      	 18.998 	 1.1111 	3.522E22 
10 	Ne 		Neon          	 19.992 	 1.2040 	3.593E22 
11 	Na 		Sodium        	 22.990 	  .9700 	2.541E22 
12 	Mg 		Magnesium     	 23.985 	 1.7366 	4.303E22 
13 	Al 		Aluminum      	 26.982 	 2.7020 	6.031E22 
14 	Si 		Silicon       	 27.977 	 2.3212 	4.977E22 
15 	 P 		Phosphorus    	 30.974 	 1.8219 	3.542E22 
16 	 S 		Sulfur        	 31.972 	 2.0686 	3.885E22 
17 	Cl 		Chlorine      	 34.969 	 1.8956 	3.220E22 
18 	Ar 		Argon         	 39.962 	 1.6504 	2.488E22 
19 	 K 		Potassium     	 38.964 	  .8632 	1.330E22 
20 	Ca 		Calcium       	 39.963 	 1.5400 	2.314E22 
21 	Sc 		Scandium      	 44.956 	 2.9890 	4.004E22 
22 	Ti 		Titanium      	 47.950 	 4.5189 	5.681E22 
23 	 V 		Vanadium      	 50.940 	 5.9600 	7.046E22 
24 	Cr 		Chromium      	 51.940 	 7.2000 	8.339E22 
25 	Mn 		Manganese     	 54.940 	 7.4341 	8.149E22 
26 	Fe 		Iron          	 55.935 	 7.8658 	8.482E22 
27 	Co 		Cobalt        	 58.930 	 8.9000 	9.095E22 
28 	Ni 		Nickel        	 57.940 	 8.8955 	9.128E22 
29 	Cu 		Copper        	 62.930 	 8.9200 	8.453E22 
30 	Zn 		Zinc          	 63.930 	 7.1400 	6.576E22 
31 	Ga 		Gallium       	 68.930 	 5.9040 	5.100E22 
32 	Ge 		Germanium     	 73.920 	 5.3500 	4.437E22 
33 	As 		Arsenic       	 74.920 	 5.7270 	4.603E22 
34 	Se 		Selenium      	 79.920 	 4.8100 	3.668E22 
35 	Br 		Bromine       	 78.920 	 3.1990 	2.411E22 
36 	Kr 		Krypton       	 83.912 	 2.6021 	1.870E22 
37 	Rb 		Rubidium      	 84.910 	 1.5320 	1.079E22 
38 	Sr 		Strontium     	 87.910 	 2.6000 	1.787E22 
39 	 Y 		Yttrium       	 88.906 	 4.4690 	3.027E22 
40 	Zr 		Zirconium     	 89.900 	 6.4900 	4.285E22 
41 	Nb 		Niobium       	 92.910 	 8.5700 	5.555E22 
42 	Mo 		Molybdenum    	 97.905 	10.2060 	6.406E22 
43 	Tc 		Technetium    	 97.000 	11.5000 	7.140E22 
44 	Ru 		Ruthenium     	101.904 	12.3000 	7.329E22 
45 	Rh 		Rhodium       	102.905 	12.3990 	7.256E22 
46 	Pd 		Palladium     	105.903 	12.0200 	6.803E22 
47 	Ag 		Silver        	106.905 	10.4730 	5.847E22 
48 	Cd 		Cadmium       	113.903 	 8.6420 	4.630E22 
49 	In 		Indium        	114.904 	 7.3000 	3.829E22 
50 	Sn 		Tin           	119.902 	 7.2816 	3.694E22 
51 	Sb 		Antimony      	120.903 	 6.6840 	3.306E22 
52 	Te 		Tellurium     	129.906 	 6.2500 	2.950E22 
53 	 I 		Iodine        	126.904 	 4.9373 	2.343E22 
54 	Xe 		Xenon         	131.904 	 3.0589 	1.403E22 
55 	Cs 		Cesium        	132.905 	 1.8785 	8.511E21 
56 	Ba 		Barium        	137.905 	 3.5100 	1.539E22 
57 	La 		Lanthanum     	138.906 	 6.1738 	2.676E22 
58 	Ce 		Cerium        	139.905 	 6.6724 	2.868E22 
59 	Pr 		Praseodymium  	140.907 	 6.7730 	2.895E22 
60 	Nd 		Neodymium     	141.907 	 7.0080 	2.926E22 
61 	Pm 		Promethium    	148.000 	 6.4750 	2.635E22 
62 	Sm 		Samarium      	151.919 	 7.5200 	3.012E22 
63 	Eu 		Europium      	152.921 	 5.2440 	2.078E22 
64 	Gd 		Gadolinium    	157.924 	 7.9010 	3.026E22 
65 	Tb 		Terbium       	158.925 	 8.2300 	3.118E22 
66 	Dy 		Dysprosium    	163.929 	 8.5510 	3.169E22 
67 	Ho 		Holmium       	164.930 	 8.7950 	3.211E22 
68 	Er 		Erbium        	165.930 	 9.0660 	3.264E22 
69 	Tm 		Thulium       	168.934 	 9.3210 	3.323E22 
70 	Yb 		Ytterbium     	173.939 	 6.9600 	2.422E22 
71 	Lu 		Lutetium      	174.941 	 9.8410 	3.387E22 
72 	Hf 		Hafnium       	179.947 	13.3100 	4.491E22 
73 	Ta 		Tantalum      	180.948 	16.6010 	5.525E22 
74 	 W 		Tungsten      	183.951 	19.3500 	6.338E22 
75 	Re 		Rhenium       	186.956 	20.5300 	6.640E22 
76 	Os 		Osmium        	191.961 	22.4800 	7.118E22 
77 	Ir 		Iridium       	192.963 	22.4210 	7.025E22 
78 	Pt 		Platinum      	194.965 	21.4500 	6.622E22 
79 	Au 		Gold          	196.967 	19.3110 	5.904E22 
80 	Hg 		Mercury       	201.971 	13.5462 	4.067E22 
81 	Tl 		Thallium      	204.974 	11.8500 	3.492E22 
82 	Pb 		Lead          	207.977 	11.3437 	3.297E22 
83 	Bi 		Bismuth       	208.980 	 9.8000 	2.824E22 
84 	Po 		Polonium      	209.983 	 9.2511 	2.653E22 
85 	At 		Astatine      	210.000 	10.0000 	2.868E22 
86 	Rn 		Radon         	222.000 	 9.9100 	2.688E22 
87 	Fr 		Francium      	223.000 	10.0000 	2.700E22 
88 	Ra 		Radium        	226.000 	 5.0222 	1.338E22 
89 	Ac 		Actinium      	227.000 	10.0000 	2.653E22 
90 	Th 		Thorium       	232.038 	11.6580 	3.026E22 
91 	Pa 		Proactinium   	231.036 	15.3700 	4.007E22 
92 	 U 		Uranium       	238.051 	19.0430 	4.818E22 
